,V1,V2
haut,2.5135596,-0.9510678
accès,2.883485,-0.8830538
méditerranée,2.3553991,-0.61861104
libération,2.3080568,-0.5597971
porte,2.2190778,-0.60779566
soirée,2.1860948,-0.48549694
plupart,2.3730354,-0.69971025
texte,2.545583,-0.34264788
économique,2.637127,-0.82931066
journée,2.7937913,-0.12526315
opération,2.1644785,-0.5697236
collectif,2.2285314,-0.7397522
accord,2.3186183,-0.9657388
ong,2.5011065,-0.5411331
olivier,2.2980106,-0.6094199
espace,2.259991,-0.4096103
choix,2.586136,-0.50618607
agence,2.497758,-1.2021127
respect,2.5700824,-0.2511231
classe,2.256834,-0.90677726
procureur,1.6347063,-0.22185716
cité,2.4134443,-0.24854313
historique,2.4363792,-0.24042417
scène,2.398187,-0.47920325
bord,2.342004,-0.9041995
charles,2.391991,-0.7240418
commune,2.205847,-0.7271715
coronavirus,1.8835589,-0.4303037
formation,2.654627,-0.64303297
nicolas,2.3058884,-0.3750172
assassinat,2.5909405,-0.755069
besoin,2.0291266,-0.6394958
étude,2.4853258,-0.4551479
rieu,1.4175444,-0.71503866
force,2.7492638,-1.0119249
viol,1.9062656,0.09922472
terme,1.8900244,-0.28601032
publication,2.111192,-0.1936965
obligation,2.1270142,-0.5454096
corps,2.2074337,-0.16974622
immeuble,2.36882,-0.22996882
religieux,2.195767,-0.17497137
expulsion,2.0800872,-0.87735254
présidentielle,2.106285,-0.41751137
assemblée,2.3897378,-0.61791605
particulier,2.3062994,-0.46491653
taux,2.9086368,-0.8938911
afp,2.039326,-0.8976433
professeur,2.048345,-0.5603289
difficile,1.7126284,-0.44851187
capitole,2.0356252,-0.81319714
milieu,2.5734053,-0.088891104
islamiste,2.4268193,-0.5577595
établissement,2.248743,-0.65697366
image,1.9599468,-0.28578603
proposition,1.9810944,-0.4634976
entrée,2.0768676,-0.83290803
polémique,2.3988893,-0.82542163
vingtaine,1.7715919,-0.051548623
objectif,2.4162579,-0.052319206
programme,2.5770786,-0.50033563
enseignant,2.5343492,-0.7769397
correctionnel,1.2561566,-0.029927246
esclavage,2.4227998,-0.78990537
présent,2.656333,-0.6736785
stratégie,2.2170286,-0.41126874
rn,1.9097337,-0.56842494
franceinfo,1.8902903,-0.7305621
arrêt,2.1462939,0.038216986
occasion,2.88324,-0.868237
plan,2.2861302,-0.39657998
résidence,1.982578,-1.0629622
bleu,1.5798428,-0.8052677
secours,1.9997551,-0.63944215
lci,2.2907507,-0.014612787
mal,2.3242638,-0.35395607
quotidien,2.3095295,-0.2501903
syndicat,2.144094,-0.9521589
forme,2.1911905,-0.3792639
secrétaire,2.1300604,-0.6158347
capitale,2.1814847,-0.6907304
sursis,1.8248107,-0.46749845
gendarmerie,1.4677178,-0.6672848
syrie,2.039344,-0.40631208
chine,2.0465298,-0.7817126
migratoire,2.1591,-0.5980846
volonté,2.2548962,-0.48963967
commissariat,2.1079233,-0.76421684
hébergement,1.7462837,-0.7688045
langue,2.4869683,-0.524801
vol,1.745339,-0.5370112
liste,1.9442599,-0.18306172
bâtiment,1.5078471,-0.42048845
mer,2.0089035,-0.5587791
mairie,2.2865992,-0.17289554
louis,2.2743583,-1.0275426
solidarité,1.6804754,-0.85138184
important,1.8800248,-0.67021126
élection,2.103259,-0.8524272
colère,2.0565107,-0.33689564
long,2.5001535,-0.45767456
siècle,1.9312977,-0.8214144
expression,1.9105318,-0.24317175
dizaine,1.7795328,-0.47715473
entreprise,2.4692578,-0.7147566
simple,2.2161465,0.011710667
julien,2.0986488,-0.15098578
drogue,1.8537796,-0.5896213
moitié,1.8676366,-0.8453871
turquie,1.8328474,-0.09647854
émission,2.0739822,-0.8229035
bus,1.8745931,-0.22532041
plein,1.6098237,-0.6745929
suisse,1.8944988,-0.6492287
conscience,1.865002,-0.46545044
camp,1.9045924,-0.04827659
agresseur,1.6187886,-0.8109843
visage,2.321502,-0.81412137
rôle,2.2971137,-0.3644731
terrain,1.8863292,-0.63702166
stéphane,2.331902,-0.6594978
procédure,1.7084346,-0.06987949
cible,1.6879392,-0.6503723
manque,2.3410046,-0.256966
but,2.0672145,0.0036725842
épidémie,1.43456,-0.19813262
chambre,2.0877137,-0.23393944
contraire,1.9592485,-0.1461863
parcours,2.3272972,-0.21262272
montpellier,1.7931019,-0.7044674
zone,1.9957687,-0.40343523
jeunesse,1.6383957,-0.051989526
responsable,1.8036188,0.00691695
européen,2.0487268,0.025655508
difficulté,1.9797461,-0.075383306
mohamed,2.3215168,-0.90433675
veille,1.7137344,-0.56200516
terroriste,2.2423644,-0.5777862
passage,2.089462,-0.13667017
tentative,1.9263254,-0.39859197
américain,2.217414,-0.8671081
danger,1.5964403,-0.85934633
personnel,2.1871173,-0.7263316
église,2.0495684,-0.22384726
musique,1.8983744,-1.0289676
appartement,1.9129871,-0.7060357
ن,2.0862954,-0.70493484
poste,1.9079123,-0.33226258
menace,1.9224738,-0.5949844
terre,1.6115696,0.0011448262
