,V1,V2
info,1.7739208,0.70014936
note,2.4634624,0.21058512
cedeao,1.6377171,1.9989288
silence,2.0065145,1.1894996
financement,2.0216377,1.0851127
oman,3.050576,-1.0182585
institut,2.5597785,0.4099513
rue,1.9384415,0.5568752
fameux,1.696534,1.3545835
macky,1.1924065,1.782509
île,2.4523468,0.66290486
appareil,2.2937253,0.72097987
soudanais,1.6769555,0.7949952
dakar,2.1729298,1.2541013
statut,2.5124013,0.45812362
entraînement,1.7693809,0.598482
burundais,1.5806073,1.430772
chaos,1.7883934,1.8268154
entité,2.1289284,0.030888531
navigation,2.7578826,-0.39141142
rapprochement,1.7411295,1.2899264
invasion,2.0352368,1.0344414
lendemain,2.0300353,0.76752317
logistique,2.198206,0.5406505
refus,2.2048614,0.5548835
canada,1.884558,0.6050357
suisse,1.9959968,0.9465228
principe,2.0975544,0.6109416
jeune,2.0973415,1.1811613
reuters,2.750479,0.1305678
protestation,2.1672049,0.9710781
autorisation,2.205163,0.86975646
poids,2.3005323,0.52582234
complot,1.9423578,1.1991942
rt,2.2307024,-0.3968279
maire,2.3432462,0.01771872
recours,2.1392477,0.96856105
japon,2.6064281,-0.7182305
balistique,2.240351,-1.029395
récent,2.1036632,0.20092677
corée,1.8886145,0.23237176
gao,1.9255393,1.8972187
fort,1.9410834,0.97951084
navy,2.6795356,-0.11288987
meurtre,2.274569,0.68045443
moindre,1.9490125,0.8605042
alpha,1.9609467,1.3339126
paul,1.6866306,0.821338
pfizer,2.8601089,0.26853177
historique,2.1950383,0.56547135
manque,2.2633011,0.8341774
destination,1.9789083,0.8197419
conseiller,1.939137,0.4536238
central,2.4631817,0.6622859
théâtre,2.2108502,0.8871679
génération,2.4437454,-0.1813985
valeur,2.2592633,0.111756496
dispositif,2.3651404,0.4530983
hausse,2.249572,0.22810355
officiel,2.2816827,0.1412945
impact,2.065878,0.40271828
expérience,1.7236873,0.86927444
comportement,2.0338297,0.5656209
pseudo,1.33828,1.3105941
financier,2.4808729,0.39268595
gros,2.436716,0.7197983
interdiction,2.1664562,0.5296128
islam,2.0765808,0.7144114
milliard,2.3892167,0.4549535
double,1.9834423,1.1855867
corridor,1.907915,-0.015247276
avis,2.175261,0.53984237
contact,2.5316942,0.22710833
espagne,2.203225,0.006291768
inquiétude,1.6082777,0.5672158
transfert,2.3040938,0.2346872
