,V1,V2
incident,2.4569013,-0.65834343
deby,2.251212,-0.5653685
solidarité,2.3404887,-0.59281176
document,2.5470047,-0.042942796
corridor,2.4806116,1.5344883
collaboration,2.227858,-0.68522495
atlantiste,2.284029,0.45259526
azawad,2.291626,-1.2960361
frappe,2.3243413,-1.5801518
arrestation,2.3693364,-0.41218373
valeur,2.5394714,0.2966654
égard,2.4038582,-0.023103597
candidat,2.6888165,0.15013087
rapide,2.4823878,-0.6492116
note,2.232784,-0.45202875
armement,2.5795033,-0.316591
italie,2.5553715,0.2802554
bounti,1.8576707,-1.8426923
industrie,2.8682015,1.1182283
signe,2.008244,-0.37570173
panique,1.9306073,0.25851148
ibrahim,2.5438237,-0.57729435
civil,2.1467106,-0.51706034
véritable,2.4612334,-0.2913826
alassane,2.3026288,1.5851895
riposte,1.9669423,-0.113999955
cabo,1.9210956,-0.19183038
télévision,2.3974798,-0.14218327
observateur,2.536127,0.7903443
allemand,1.9965066,0.18530788
recherche,2.40915,-0.07942383
djibo,2.395747,-1.6381036
nécessité,1.9833037,-0.5678162
comportement,2.2667892,0.3396232
complot,1.9946241,0.07632013
pékin,2.3820143,0.9736775
commerce,2.2308807,0.93547857
cma,2.2368915,-1.4663972
opposant,2.4532452,0.9172408
possibilité,2.2421126,-0.49369323
responsabilité,2.0174422,-0.7483809
bazoum,1.602772,-0.22975871
extraordinaire,1.8461635,0.2516075
fcfa,2.4758413,0.3747256
dépit,1.8880925,-0.07784316
commun,2.2581267,-0.2563395
autorisation,2.2414198,-0.09871842
nucléaire,2.6983252,1.3039976
abeba,1.9787726,-0.19526736
fer,2.5647037,-0.24366006
issoufou,2.2445407,-0.873022
association,2.4379969,0.2639081
tibor,2.1799116,1.7835603
scrutin,2.5679066,0.18915567
vague,2.4137769,0.21691439
casamance,2.2038884,-0.06773482
double,2.0669801,-0.325557
invasion,2.100984,-0.5885641
lac,2.0277588,0.15771186
bataille,2.3501368,0.73803514
théâtre,1.73243,-0.5640333
commune,2.5732226,-1.2651707
delgado,2.2094493,-0.16018397
centaine,2.0794578,-1.2737343
partage,2.0594854,0.03900271
yémen,2.0647078,0.4318797
relation,2.315015,0.5859364
dispositif,1.98968,-0.47613588
sénat,2.2394867,0.12327642
spécial,2.4870346,0.27686256
pillage,2.1832635,0.30595028
riche,1.948892,0.06459809
avis,2.3548381,0.5479512
audience,2.3876514,0.39084148
trafic,2.474314,0.07259256
biden,2.3942897,0.32437992
envergure,2.0246584,-0.9927823
partenaire,2.4551456,0.8558321
séparatiste,1.9469918,0.35367736
rouge,2.421662,0.3256727
légitime,1.9277359,-0.657524
secret,1.8878467,0.24558878
énorme,2.1019883,0.3452567
pentagone,1.9500357,-0.45579115
émissaire,2.2698185,-0.059206974
nigérian,2.0011084,0.1937512
institution,2.370322,0.01280632
présidentiel,2.2478614,0.24785165
jeunesse,2.4195552,-0.6502275
lendemain,2.179064,-0.9295795
quotidien,2.405808,-0.32064122
chasse,2.0129824,-1.0356597
soldat,2.0785186,-0.83067507
donald,2.1966894,0.54693127
apparition,1.7829324,-0.40872255
afghanistan,1.9128038,-0.290938
arabie,2.539416,0.6391792
tongo,2.0000432,-1.6897944
zambie,2.186418,0.76704776
calme,2.2082121,-0.28769037
amhara,1.7059366,-1.114081
destin,1.8428077,-0.39077735
sort,2.1769893,0.00093630067
officiel,2.145213,-0.8057722
révolution,2.0946639,0.10527662
victime,2.3539581,0.2529312
tiers,2.1638894,0.07497918
tombouctou,2.15814,-1.787207
vol,2.0180988,-0.33992654
farabougou,2.2448454,-1.4264969
cercle,2.2367446,-0.66895306
mayotte,2.378426,0.23949961
entraînement,1.9468526,-0.98885596
haftar,2.4368713,-0.39629495
touareg,2.1501966,-1.3090175
plupart,2.0879772,-0.71458465
vingtaine,1.881337,-1.1576082
transfert,1.9385047,0.09959125
monnaie,2.0132551,0.5140005
venezuela,2.5970743,0.6230322
impossible,2.286601,-0.16421014
tuerie,2.3215017,-1.1002688
pétrolier,2.2847736,1.0708976
adjoint,1.8751307,-0.51317984
hélicoptère,2.3516235,-0.930774
statut,2.3802774,0.41023517
islam,2.2657578,-0.8516982
extrême,2.5054119,-0.3697354
brigade,1.9956211,-0.8593861
série,1.5863619,-0.21421339
refus,1.8565449,-0.6692967
perte,2.3339016,-0.10661596
champ,2.4415803,-0.68019664
tournée,1.996902,-0.03322042
pont,2.5182998,-1.2195978
taux,2.4499881,0.57591873
chute,1.7185984,0.024516998
courant,1.9313331,-0.558871
dgse,1.6982116,-0.10405547
destruction,2.0871904,-0.55182844
outil,2.0500891,0.047180057
utilisation,2.317818,0.051731803
plateforme,2.5559275,-0.052388374
régional,1.7593001,0.39392868
décès,1.9634086,-0.21916617
faux,2.2118576,-0.33221358
livraison,2.26068,0.17457637
