,V1,V2
possibilité,1.220582,1.2593544
vingtaine,1.2347964,1.2293218
amadou,1.189648,0.90831244
pire,1.3457229,1.5662875
pacifique,1.5221627,0.5634717
partenaire,1.2152256,0.8591523
entrée,1.523804,1.4197127
leader,1.3659629,1.5557352
transport,1.9802351,0.82149863
pratique,1.2153771,1.4981182
nomination,1.6929,0.73954797
voisin,0.7183914,1.411458
engin,1.3695407,1.4780711
légitimité,1.2347991,0.8049558
honneur,1.8020892,0.66716164
million,1.3968234,1.1598468
bataille,1.8058094,1.2758904
hélicoptère,1.4961329,1.7380198
contact,1.9152143,0.92026985
abdoulaye,1.6287661,1.2126997
arrestation,1.4098221,0.89961165
faux,1.2802114,1.013815
ingérence,1.8925018,0.5819956
hommage,1.4119378,1.4762536
mot,1.8196167,1.3907145
existence,1.2114588,1.0663493
mal,1.7362492,0.8124931
october,1.9171141,1.6136749
faure,1.3660716,0.8025155
débat,1.5233028,0.81170017
unique,1.1363556,1.0690421
extraordinaire,1.2676288,1.3419724
mosquée,1.4123278,1.6004161
réussite,1.3947535,0.6998267
probable,1.6228843,1.3292512
eco,1.0922004,1.1573298
etat,1.158476,0.80770636
porte,1.1662263,1.4797175
mur,2.0463865,1.6654178
conseiller,1.5630202,1.3915448
réduction,1.1495988,0.50645
ahmed,1.6678779,0.9695567
kaboré,1.5746477,0.9773235
disposition,1.5692556,1.5201163
dangereux,1.6502953,1.050217
habré,1.2721885,0.7292122
assaut,1.3107665,1.740928
burundi,0.8308484,1.2823334
exploitation,0.9967677,1.0723349
été,1.5340868,0.9156034
clair,1.3759438,1.1379741
pauvreté,1.3486907,1.0719016
maire,1.7356681,1.599899
théâtre,1.3023565,0.3456973
détermination,0.93328786,0.87079406
résultat,1.600334,0.7953882
étape,1.6139249,0.7787294
chemin,1.6272507,1.2370232
autodéfense,1.4009024,0.64754206
progrès,1.3801554,0.8344888
sergueï,1.3755432,0.5972075
blindé,1.0032538,1.5246162
opérationnel,1.3071992,0.81245965
ferme,1.1542774,0.7076355
relation,1.7058278,1.158989
islamiste,1.0721949,0.7813882
promotion,1.4667776,1.0663917
plein,1.6370933,1.1179705
constat,1.2889053,0.53781176
financier,0.885659,0.8871708
défi,1.5115207,1.1456228
exil,1.6582749,1.2426475
conclusion,1.3323306,1.1287149
emploi,1.1470098,1.4378198
daw,1.194302,1.010733
port,1.9645147,1.412284
siècle,1.5219315,0.8844627
siège,1.2190397,0.56945944
espoir,1.970455,0.6802166
lomé,1.6504487,0.7067059
édition,1.4676342,0.62741375
dirigeant,0.99727094,0.7670585
zemmour,1.1482856,0.9608205
polisario,0.97004163,0.630811
contestation,0.8782548,0.4960101
oxfam,1.2989132,0.76770073
intégrité,1.842667,1.3058524
budget,0.93621296,1.2301897
lettre,0.9049883,0.81135744
intention,0.7466223,1.1228002
palais,1.5207171,1.3391403
rabat,1.6831003,0.59678423
médiation,1.5247904,0.34559938
éric,1.7150911,0.9312197
khalifa,1.0895716,0.92675734
recours,1.4621358,0.8600694
voyage,1.8652551,0.9074781
efficacité,1.4980005,0.25596505
drogue,1.5272549,0.862457
âge,1.9672332,0.51472527
industrie,2.0613127,0.88105565
détention,1.1579376,0.68382597
occident,1.6268517,1.0559243
durable,1.2345793,0.57812625
télémédecine,1.7532269,1.104861
humanité,1.4366751,1.2506163
choguel,0.8721997,0.72223824
sylvia,1.637057,1.2983063
valeur,0.9680678,1.3767959
exécutif,1.3730845,0.6065123
chance,1.6387837,0.41480753
déstabilisation,1.2808455,1.0426754
mauritanien,1.1476222,0.6301104
