,V1,V2
navalny,1.9333876,1.8081388
ambassadeur,2.2327528,1.7208211
propagation,1.4911056,1.5421586
étranger,2.00863,2.172896
bfmtv,1.3866806,2.5708148
lrem,1.3252022,2.2055876
frontière,2.2054508,1.864941
élection,1.8251026,2.053516
long,1.8249781,1.5668614
image,2.0617673,2.2169728
zemmour,2.1014185,2.086921
tunisie,2.1910818,1.5941535
communication,2.2706409,1.7787069
victime,2.0036695,1.373767
souveraineté,1.909309,2.281332
amende,1.6969517,1.8299885
déclaration,1.942837,1.5664171
âge,2.5082479,2.0665584
obligatoire,1.9676331,1.3890957
rouge,2.3878353,1.713773
judiciaire,1.7621797,1.4313672
commerce,1.8382823,2.379202
scientifique,2.1421857,1.8786342
israël,1.6414086,1.973649
culture,2.3210106,2.081726
responsabilité,2.0994668,1.568689
november,2.0688193,2.3727388
attention,1.9160196,2.1494646
renseignement,2.2116592,1.2597876
réseau,2.376451,1.6516813
enfant,2.0320444,2.125445
entrée,1.9924058,1.9271758
doute,2.4183404,1.6149294
castaner,1.2354351,2.0493758
mairie,1.967716,1.8554204
égard,2.1826844,1.9568884
populaire,1.8216944,2.3137405
terrorisme,1.3648542,1.7840759
but,2.206201,2.1400855
espagne,1.8095025,1.843296
capacité,2.1432765,1.9126585
lendemain,1.6140057,1.4473698
lettre,1.9137226,1.8864849
syndicat,1.5571748,1.9910308
laurent,2.3864799,2.2229466
laïcité,1.9416416,2.2901092
issue,1.8021612,2.0769877
grave,2.0010715,1.261779
marche,1.5019715,1.771892
terrain,2.1015508,1.8169383
autorité,1.8224773,1.9468571
scène,2.1983812,1.7597058
alexandre,1.7933178,1.8754979
quartier,1.8365467,1.5654383
arme,2.2226036,1.5101042
fonction,1.8528765,2.0320432
principal,2.1214592,1.8110487
inde,2.2197957,1.4044617
june,2.4628773,2.112276
sondage,1.958776,1.6472988
plupart,1.9833692,1.5861584
figaro,1.8984032,2.1735253
charles,2.0479105,1.7832276
july,1.498386,2.1486685
mal,1.7756407,1.7938277
canada,1.4430239,2.2065709
absence,2.1938481,2.160869
processus,2.7585707,1.4998567
august,1.7158707,2.113231
sortie,2.195679,1.7510208
présidence,1.8984514,1.4378406
ouverture,2.384489,1.1916466
anglais,1.9372098,1.8187042
haftar,1.6512433,2.0155928
berlin,1.9706187,1.3644551
stratégique,2.262631,1.4540247
jeu,2.4124568,1.8240592
exécutif,1.6476941,1.5281693
contrat,2.39979,1.8546288
fille,2.2018514,1.3160753
mondial,1.9332658,1.7653022
irak,1.8846424,1.0711595
film,2.0753663,2.0637202
fonds,2.0972083,1.6513586
second,1.9017304,2.3194633
texte,1.4655108,1.958125
franceinfo,2.0714777,1.8116198
domicile,2.1542714,1.8002948
fermeture,1.9366859,1.6022297
département,1.6539401,1.5655812
exercice,1.7286284,1.7036612
december,1.8391057,2.4723804
colère,1.3570648,1.4670088
erdogan,1.6973506,1.7396731
bfm,1.4792067,2.2281518
plein,1.821408,1.9550903
vrai,1.8487625,2.192109
liban,1.6113186,1.7214224
front,1.9375249,1.6941385
genre,2.069571,1.7704657
immigration,1.6188498,1.893012
april,2.1950529,2.3389533
racisme,1.3859689,2.0539901
argent,2.0219352,1.8306935
respect,1.9346502,1.2933491
mélenchon,1.6978271,2.2859333
euro,1.7110506,2.0527935
recours,1.8666017,2.0326512
commune,2.1497772,1.2293159
benalla,1.125796,2.2971003
sputnikvidéo,1.9072858,2.1115143
hommage,1.7303752,2.2208898
rappel,1.8691717,2.0608673
chiffre,1.5132821,1.723287
covid,2.0126345,1.7278792
tribunal,2.288153,1.7539974
carte,1.7973696,2.0171857
bout,1.8057216,1.9399359
astrazeneca,2.6438396,1.2398851
libre,2.1193085,1.5435569
arrêt,2.2153926,1.9566816
avenir,1.6514976,1.8193601
chute,2.0033205,1.5325332
continent,1.6423628,1.7976686
cœur,1.5882535,1.5016943
voiture,2.3804946,2.0584698
contact,1.6536857,1.5860698
direct,1.9946665,1.4289289
libération,1.8173422,1.5153197
vigueur,1.5270505,0.99140835
émission,1.787425,1.5808642
darmanin,2.1372347,0.9105385
sol,1.3932489,1.3747354
intention,1.5557787,2.1115427
efficacité,2.050796,1.4817541
représentant,1.6691841,1.2492945
historique,1.9762181,1.8466243
interdiction,1.792627,1.2722656
actuel,1.6217283,1.3948431
document,1.63424,1.3550007
traitement,1.6872776,1.8297449
sûr,1.7461363,1.7902801
véhicule,2.065712,1.8428655
départ,2.2912621,1.6867675
sorte,1.6668885,2.143468
